School name,Suburb,What's happening?,Project type,coordinates x,coordinates y
Gold Street Children's Centre,Collingwood,Building Blocks Inclusion Grant - Buildings and Playgrounds - Keele Street Campus,Early childhood projects,144.9897251,-37.7969711
Golden Plains Shire Council Kindergarten Infrastructure Planning Project,Bannockburn,Building Blocks Planning Grant,Early childhood projects,144.1730475,-38.0506024
Golden Square Kindergarten,Golden Square,Building Blocks Capacity Grant - Expansion | Building Blocks Improvement Grant - Upgrade,Early childhood projects,144.2591088,-36.7743827
,,,Non-government grants,143.3906074,-36.9847807
Good News Lutheran College (Mambourin Campus) Kindergarten Infrastructure Planning Project,,Building Blocks Planning Grant,Early childhood projects,144.594914,-37.893599
Good Shepherd Early Childhood Services,Hamilton,Early Learning Facility Upgrade,Early childhood projects,142.0312026,-37.7318497
Goodstart Boronia,Boronia,Building Blocks Capacity Grant - New Early Learning Facility,Early childhood projects,145.2959774,-37.8627227
Goodstart Early Learning,,Building Blocks Planning Grant,Early childhood projects,143.3906074,-36.9847807
Goodstart Early Learning Alfredton,Alfredton,Building Blocks Improvement Grant - Upgrade,Early childhood projects,143.7977517,-37.55381970000001
Goodstart Early Learning Bayswater North,Bayswater North,Building Blocks Inclusion Grant,Early childhood projects,145.3020562,-37.8314577
Goodstart Early Learning Bendigo,Bendigo,Building Blocks Inclusion Grant,Early childhood projects,144.2885106,-36.7586675
Goodstart Early Learning Berwick,Berwick,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,145.3412669,-38.0490204
Goodstart Early Learning Braybrook,Braybrook,Building Blocks Inclusion Grant,Early childhood projects,144.855756,-37.785255
,Bundoora,Building Blocks Inclusion Grant,Early childhood projects,145.0622727,-37.6948854
Goodstart Early Learning Burnside,Burnside,Building Blocks Improvement Grant,Early childhood projects,144.748485,-37.7471577
Goodstart Early Learning Carrum Downs Frankston - Dandenong Road,Carrum Downs,Building Blocks Inclusion Grant,Early childhood projects,145.1797849,-38.0915769
Goodstart Early Learning Carrum Downs – Arcadia Street,Carrum Downs,Building Blocks Inclusion Grant,Early childhood projects,145.188206,-38.1157579
Goodstart Early Learning Centres - Morwell Central Primary,Morwell,Integrated Children’s Centre,Early childhood projects,146.4066837,-38.231838
Goodstart Early Learning Chelsea Heights,Chelsea Heights,Building Blocks Improvement Grant,Early childhood projects,145.1308014,-38.0295326
Goodstart Early Learning Clifton Hill,Clifton Hill,Building Blocks Improvement Grant,Early childhood projects,145.0008279,-37.7856829
Goodstart Early Learning Croydon South,Croydon South,Building Blocks Inclusion Grant,Early childhood projects,145.2698437,-37.8175771
Goodstart Early Learning Delacombe,Delacombe,Building Blocks Inclusion Grant,Early childhood projects,143.8252641,-37.5869486
Goodstart Early Learning Dennington,Dennington,Building Blocks Improvement Grant,Early childhood projects,142.4503592,-38.3585099
,,Building Blocks Inclusion Grant,Early childhood projects,143.3906074,-36.9847807
Goodstart Early Learning Eltham,Eltham,Building Blocks Inclusion Grant,Early childhood projects,145.146534,-37.719758
Goodstart Early Learning Elwood,Elwood,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,144.9881106,-37.8758292
Goodstart Early Learning Endeavour Hills – Hanna Drive,Endeavour Hills,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,145.2702164,-37.9759889
Goodstart Early Learning Epping High St,Epping,Building Blocks Inclusion Grant,Early childhood projects,145.0166962,-37.6555822
Goodstart Early Learning Euroa,Euroa,Building Blocks Inclusion Grant,Early childhood projects,145.5634002,-36.7556067
Goodstart Early Learning Golden Square,Golden Square,Building Blocks Inclusion Grant,Early childhood projects,144.2483401,-36.7737137
Goodstart Early Learning Hampton Park Somerville Road,Hampton Park,Building Blocks Inclusion Grant,Early childhood projects,145.2637845,-38.0319492
Goodstart Early Learning Hillside,Hillside,Building Blocks Inclusion Grant,Early childhood projects,144.742006,-37.700937
Goodstart Early Learning Hoppers Crossing - Morris Road,Hoppers Crossing,Building Blocks Improvement Grant,Early childhood projects,144.7047899,-37.8571087
Goodstart Early Learning Hughesdale,Oakleigh South,Building Blocks Improvement Grant,Early childhood projects,145.0803994,-37.9086933
Goodstart Early Learning Kealba,Kealba,Building Blocks Inclusion Grant,Early childhood projects,144.823133,-37.7321757
Goodstart Early Learning Kindergarten Infrastructure Planning Project,,Building Blocks Planning,Early childhood projects,143.3906074,-36.9847807
Goodstart Early Learning Kyneton,Kyneton,Building Blocks Improvement Grant,Early childhood projects,144.4573975,-37.2455466
Goodstart Early Learning Langwarrin,Langwarrin,Building Blocks Inclusion Grant,Early childhood projects,145.2147662,-38.139674
Goodstart Early Learning Meadow Heights,Meadow Heights,Building Blocks Improvement Grant,Early childhood projects,144.924335,-37.65041100000001
Goodstart Early Learning Melton – High Street,Melton,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,144.5761246,-37.6842781
Goodstart Early Learning Melton – Centenary Avenue,Melton,Building Blocks Inclusion Grant,Early childhood projects,144.5768366,-37.6733086
Goodstart Early Learning Mildura - Matthew Flinders Drive,Mildura,Building Blocks Improvement Grant - Upgrade,Early childhood projects,142.1445902,-34.2088979
Goodstart Early Learning Montrose,Montrose,Building Blocks Inclusion Grant,Early childhood projects,145.359715,-37.797396
Goodstart Early Learning Mount Waverley,Mount Waverley,Building Blocks Improvement Grant,Early childhood projects,145.1338523,-37.8988705
Goodstart Early Learning Narre Warren North,Narre Warren,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,145.3124263,-38.002406
Goodstart Early Learning New Gisborne,New Gisborne,Building Blocks Inclusion Grant,Early childhood projects,144.5957031,-37.4699668
Goodstart Early Learning Noble Park,Noble Park,Building Blocks Improvement Grant,Early childhood projects,145.1785938,-37.96895010000001
Goodstart Early Learning Parkdale,Parkdale,Building Blocks Inclusion Grant,Early childhood projects,145.0713752,-37.9837571
Goodstart Early Learning Point Cook - The Strand,Point Cook,Building Blocks Improvement Grant,Early childhood projects,144.7439285,-37.880582
Goodstart Early Learning Point Cook – Lemongrass Circuit,Point Cook,Building Blocks Improvement Grant,Early childhood projects,144.7321513,-37.8848258
Goodstart Early Learning Point Cook – Shaftsbury Boulevard,Point Cook,Building Blocks Improvement Grant,Early childhood projects,144.7502981,-37.8870203
Goodstart Early Learning Reservoir,Reservoir,Building Blocks Inclusion Grant,Early childhood projects,145.0315341,-37.69997300000001
Goodstart Early Learning Rosanna,Rosanna,Building Blocks Capacity Grant - New Early Learning Centre,Early childhood projects,145.0637392,-37.741223
Goodstart Early Learning Rosanna Banyule Road,Rosanna,Building Blocks Improvement Grant,Early childhood projects,145.0820922,-37.7424911
Goodstart Early Learning Rowville – Liberty Avenue,Rowville,Building Blocks Inclusion Grant - Buildings and Playgrounds,Early childhood projects,145.2415922,-37.9331531
Goodstart Early Learning Roxburgh Park - David Munroe Drive,Roxburgh Park,Building Blocks Improvement Grant,Early childhood projects,144.929947,-37.6394172
Goodstart Early Learning Sunbury Bennett Court,Sunbury,Building Blocks Inclusion Grant,Early childhood projects,144.7008626,-37.58022649999999
Goodstart Early Learning Traralgon – Grey Street,Traralgon,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,146.522561,-38.192165
Goodstart Early Learning Traralgon – Park Lane,Traralgon,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,146.552347,-38.1866464
Goodstart Early Learning Vermont - Canterbury Road North,Vermont,Building Blocks Improvement Grant - Upgrade,Early childhood projects,145.1897652,-37.8364135
Goodstart Early Learning Wantirna,Wantirna,Building Blocks Inclusion Grant,Early childhood projects,145.2296078,-37.8469137
Goodstart Early Learning Wantirna South – Wallace Road,Wantirna South,Building Blocks Improvement Grant,Early childhood projects,145.243547,-37.875874
Goodstart Early Learning Warragul Sutton Street,Warragul,Building Blocks Inclusion Grant,Early childhood projects,145.943425,-38.15317
Goodstart Early Learning Werribee,Werribee,Building Blocks Improvement Grant - Upgrade,Early childhood projects,144.6655056,-37.9038892
Goodstart Early Learning Woodend,Woodend,Building Blocks Improvement Grant,Early childhood projects,144.5324938,-37.3605084
Goodstart Early Learning Yarrawonga,Yarrawonga,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,146.006195,-36.0174598
Goodstart Hoppers Crossing Barber Drive,Hoppers Crossing,Building Blocks Inclusion Grant,Early childhood projects,144.6754936,-37.8762114
Goodstart Mentone,Mentone,New Early Learning Facility,Early childhood projects,145.0780034,-37.9855598
Goodstart Watsonia,Watsonia,Building Blocks Capacity Grant - New Early Learning Centre,Early childhood projects,145.0815564,-37.7127499
Goolum - Goolum Aboriginal Co-operative,Horsham,Building Blocks Planning Grant,Early childhood projects,142.2029597,-36.7181603
Goonawarra Primary School,Sunbury,Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,144.7513177,-37.5803281
Gordon Primary School Kindergarten (interim name),Gordon,Kindergarten on a School Site,Early childhood projects,144.1054527,-37.584018
Gordon Street Preschool,Beaumaris,Building Blocks Improvement Grant – Play Space,Early childhood projects,145.0510687,-37.9737103
Gormandale And District Primary School,Gormandale,Inclusive Schools Fund - Round 6,School upgrades,146.7037353,-38.2942047
Goroke Kindergarten,Goroke,Building Blocks Inclusion Grant,Early childhood projects,141.4765789,-36.719688
Goroke P-12 College,Goroke,Minor Capital Works Fund,School upgrades,141.4838104,-36.7157478
Gower Street Kindergarten,Preston,Building Blocks Inclusion Grant,Early childhood projects,145.0174441,-37.741694
Gowrie Carlton Learning Precinct,Carlton,Building Blocks Improvement Grant,Early childhood projects,144.9700468,-37.7957449
Gowrie Clare Court,Yarraville,Early Childhood Refurbishment and Minor Works,Early childhood projects,144.8784569,-37.8178343
Gowrie Docklands Kindergarten,Docklands,Building Blocks Improvement Grant,Early childhood projects,144.940927,-37.8130977
Gowrie The Harbour,Docklands,Building Blocks Improvement Grant,Early childhood projects,144.9429929,-37.8203796
Gowrie Victoria Broadmeadows Valley,Broadmeadows,Building Blocks Improvement Grant | Kindergarten on a School Site | Building Blocks Improvement Grant - Early Learning Facility Upgrade | Building Blocks Inclusion Grant,Early childhood projects,144.9118472,-37.6818646
Gowrie Victoria Carlton North,Carlton North,Building Blocks Improvement Grant | Building Blocks Capacity Grant – Expansion | Building Blocks Planning | Early Childhood Refurbishment and Minor Infrastructure – Major Works And Refurbishment,Early childhood projects,144.9746744,-37.7896344
Gowrie Victoria The Harbour,Docklands,Building Blocks Improvement Grant,Early childhood projects,144.940927,-37.8130977
Grace Berglund Kindergarten,Warragul,Building Blocks Planning Grant,Early childhood projects,145.937166,-38.159271
Grace Christian College Wodonga,Leneva,Non-Government Schools Capital Fund,Non-government grants,146.8876479,-36.1576067
Grange Road Kindergarten,Sandringham,Building Blocks Improvement Grant,Early childhood projects,145.0184176,-37.9487815
Grasmere Primary School,Grasmere,Upgrade and Modernisation,School upgrades,142.5236191,-38.285256
Grayling Primary School,Clyde North,New School,New schools,145.3728553,-38.0820028
Great Ryrie Primary School,Heathmont,Minor Capital Works Fund | Permanent Modular School Buildings Program,School upgrades,145.237804,-37.8235873
Greater Bendigo City Council Kindergarten Infrastructure Planning Project,,Building Blocks Planning,Early childhood projects,144.3467152,-36.7948261
Greater Beveridge Community Centre,Beveridge,Building Blocks Partnership,Early childhood projects,144.9558499,-37.4717733
Greater Shepparton City Council Kindergarten Infrastructure Planning Project,,Building Blocks Planning Grant,Early childhood projects,145.402868,-36.3914888
Greater Shepparton Secondary College,Shepparton,New School,New schools,145.4157034,-36.3726288
Greenhills Preschool,Greensborough,Building Blocks Improvement Grant,Early childhood projects,145.1139073,-37.6986469
Greenhills Primary School,Greensborough,Upgrade and Modernisation – Competition-Grade Gymnasium | Upgrade and Modernisation,School upgrades,145.1182435,-37.6919358
Greensborough Preschool,Greensborough,Early Learning Facility Upgrade,Early childhood projects,145.0986911,-37.7050656
Greensborough Primary School,Greensborough,Minor Capital Works Fund - Round 2,School upgrades,145.1002526,-37.7041021
Greensborough Secondary College,Greensborough,Upgrade and Modernisation | Upgrade and Modernisation - Stage 2 | Sporting Facility Upgrade,School upgrades,145.091852,-37.7085445
Greenvale Primary School,,,"Planning projects, School upgrades",144.8868651,-37.6403405
